FRQ, BETA, SPEED, GROUP, Mode, Mod(F), Pha(F), Re(F), Im(F) 
8.400000e-01, 0.000000, 0.000000, 0, 4, 1.320791e+00, -111.265221, -4.790319e-01, -1.230860e+00 
8.400000e-01, 0.000000, 0.000000, 0, 5, 1.747932e+04, -114.196574, -7.164224e+03, -1.594367e+04 
8.400000e-01, 0.000000, 0.000000, 0, 6, 2.125450e+01, -74.414464, 5.710587e+00, -2.047298e+01 
8.700000e-01, 0.000000, 0.000000, 0, 1, 4.123702e+02, -116.005332, -1.808057e+02, -3.706191e+02 
8.700000e-01, 0.000000, 0.000000, 0, 2, 1.273148e-01, 151.761110, -1.121621e-01, 6.023885e-02 
8.700000e-01, 0.000000, 0.000000, 0, 3, 2.698733e+02, -137.305338, -1.983509e+02, -1.829987e+02 
8.700000e-01, 0.000000, 0.000000, 0, 4, 1.271562e+00, -54.513817, 7.381502e-01, -1.035376e+00 
8.700000e-01, 0.000000, 0.000000, 0, 5, 5.453321e+04, -63.132010, 2.464554e+04, -4.864636e+04 
8.700000e-01, 0.000000, 0.000000, 0, 6, 2.260224e+01, -44.250560, 1.618988e+01, -1.577179e+01 
9.000000e-01, 0.000000, 0.000000, 0, 1, 2.571556e+02, -145.273459, -2.113511e+02, -1.464913e+02 
9.000000e-01, 0.000000, 0.000000, 0, 2, 1.690192e-01, -166.567780, -1.643957e-01, -3.926229e-02 
9.000000e-01, 0.000000, 0.000000, 0, 3, 8.689271e+01, -8.898412, 8.584688e+01, -1.344083e+01 
9.000000e-01, 0.000000, 0.000000, 0, 4, 1.710419e+00, -9.206343, 1.688386e+00, -2.736507e-01 
9.000000e-01, 0.000000, 0.000000, 0, 5, 5.797991e+04, -48.068595, 3.874452e+04, -4.313389e+04 
9.000000e-01, 0.000000, 0.000000, 0, 6, 1.883481e+01, -6.157756, 1.872613e+01, -2.020341e+00 
9.300000e-01, 0.000000, 0.000000, 0, 1, 1.756120e+02, 128.419226, -1.091272e+02, 1.375894e+02 
9.300000e-01, 0.000000, 0.000000, 0, 2, 1.800656e-01, -136.143188, -1.298406e-01, -1.247600e-01 
9.300000e-01, 0.000000, 0.000000, 0, 3, 2.924605e+02, 34.491210, 2.410498e+02, 1.656145e+02 
9.300000e-01, 0.000000, 0.000000, 0, 4, 1.924066e+00, 22.549401, 1.776970e+00, 7.378406e-01 
9.300000e-01, 0.000000, 0.000000, 0, 5, 2.665428e+04, -21.745653, 2.475750e+04, -9.875065e+03 
9.300000e-01, 0.000000, 0.000000, 0, 6, 1.796965e+01, 53.005826, 1.081294e+01, 1.435230e+01 
9.600000e-01, 0.000000, 0.000000, 0, 1, 2.758108e+02, 80.573191, 4.517438e+01, 2.720861e+02 
9.600000e-01, 0.000000, 0.000000, 0, 2, 1.436847e-01, -95.504050, -1.378168e-02, -1.430222e-01 
9.600000e-01, 0.000000, 0.000000, 0, 3, 2.827894e+02, 50.208159, 1.809853e+02, 2.172882e+02 
9.600000e-01, 0.000000, 0.000000, 0, 4, 1.660503e+00, 61.037327, 8.040815e-01, 1.452833e+00 
9.600000e-01, 0.000000, 0.000000, 0, 5, 2.408027e+04, 107.235150, -7.134842e+03, 2.299899e+04 
9.600000e-01, 0.000000, 0.000000, 0, 6, 2.414787e+01, 99.381946, -3.936467e+00, 2.382486e+01 
9.900000e-01, 0.000000, 0.000000, 0, 1, 2.221223e+02, 51.190512, 1.392113e+02, 1.730853e+02 
9.900000e-01, 0.000000, 0.000000, 0, 2, 1.447666e-01, -31.121018, 1.239314e-01, -7.482224e-02 
9.900000e-01, 0.000000, 0.000000, 0, 3, 9.779603e+01, 96.013507, -1.024540e+01, 9.725788e+01 
9.900000e-01, 0.000000, 0.000000, 0, 4, 1.583618e+00, 119.894480, -7.892820e-01, 1.372909e+00 
9.900000e-01, 0.000000, 0.000000, 0, 5, 4.423191e+04, 135.676958, -3.164403e+04, 3.090497e+04 
9.900000e-01, 0.000000, 0.000000, 0, 6, 2.567503e+01, 131.260957, -1.693241e+01, 1.930027e+01 
1.020000e+00, 0.000000, 0.000000, 0, 1, 1.231217e+02, -24.398547, 1.121262e+02, -5.085927e+01 
1.020000e+00, 0.000000, 0.000000, 0, 2, 2.000126e-01, 12.907131, 1.949590e-01, 4.467710e-02 
1.020000e+00, 0.000000, 0.000000, 0, 3, 1.815738e+02, -148.473217, -1.547727e+02, -9.494440e+01 
1.020000e+00, 0.000000, 0.000000, 0, 4, 2.076923e+00, 169.080926, -2.039322e+00, 3.934156e-01 
1.020000e+00, 0.000000, 0.000000, 0, 5, 3.060171e+04, 157.620134, -2.829679e+04, 1.165146e+04 
1.020000e+00, 0.000000, 0.000000, 0, 6, 1.966903e+01, 175.184392, -1.959960e+01, 1.651201e+00 
1.050000e+00, 0.000000, 0.000000, 0, 1, 1.926316e+02, -89.427084, 1.926144e+00, -1.926220e+02 
1.050000e+00, 0.000000, 0.000000, 0, 2, 1.971789e-01, 45.366425, 1.385320e-01, 1.403154e-01 
1.050000e+00, 0.000000, 0.000000, 0, 3, 2.329293e+02, -125.460255, -1.351312e+02, -1.897251e+02 
1.050000e+00, 0.000000, 0.000000, 0, 4, 2.235190e+00, -153.485468, -2.000096e+00, -9.978444e-01 
1.050000e+00, 0.000000, 0.000000, 0, 5, 1.400167e+04, -92.267925, -5.540798e+02, -1.399070e+04 
1.050000e+00, 0.000000, 0.000000, 0, 6, 2.106708e+01, -116.472890, -9.391163e+00, -1.885810e+01 
1.080000e+00, 0.000000, 0.000000, 0, 1, 1.603930e+02, -123.275590, -8.800230e+01, -1.340952e+02 
1.080000e+00, 0.000000, 0.000000, 0, 2, 1.460320e-01, 99.911785, -2.513675e-02, 1.438524e-01 
1.080000e+00, 0.000000, 0.000000, 0, 3, 1.026841e+02, -86.861157, 5.622547e+00, -1.025301e+02 
1.080000e+00, 0.000000, 0.000000, 0, 4, 1.935574e+00, -103.854157, -4.634756e-01, -1.879265e+00 
1.080000e+00, 0.000000, 0.000000, 0, 5, 3.331534e+04, -41.021921, 2.513505e+04, -2.186645e+04 
1.080000e+00, 0.000000, 0.000000, 0, 6, 2.879165e+01, -74.785865, 7.555712e+00, -2.778255e+01 
1.110000e+00, 0.000000, 0.000000, 0, 1, 9.220999e+01, 151.802961, -8.126723e+01, 4.356970e+01 
