FRQ, BETA, SPEED, GROUP, Mode, Mod(F), Pha(F), Re(F), Im(F) 
9.900000e-01, 0.000000, 0.000000, 0, 2, 2.846209e-01, 22.212614, 2.634984e-01, 1.075994e-01 
9.900000e-01, 0.000000, 0.000000, 0, 3, 2.971938e+02, -154.965029, -2.692723e+02, -1.257639e+02 
9.900000e-01, 0.000000, 0.000000, 0, 4, 2.130513e+00, -118.749413, -1.024734e+00, -1.867888e+00 
9.900000e-01, 0.000000, 0.000000, 0, 5, 2.729663e+04, -107.562525, -8.236658e+03, -2.602428e+04 
9.900000e-01, 0.000000, 0.000000, 0, 6, 2.854322e+01, -95.015537, -2.495416e+00, -2.843393e+01 
1.020000e+00, 0.000000, 0.000000, 0, 1, 1.590264e+02, -171.235832, -1.571696e+02, -2.423050e+01 
1.020000e+00, 0.000000, 0.000000, 0, 2, 1.667145e-01, 142.574781, -1.323959e-01, 1.013167e-01 
1.020000e+00, 0.000000, 0.000000, 0, 3, 9.894717e+01, -78.821254, 1.918293e+01, -9.706986e+01 
1.020000e+00, 0.000000, 0.000000, 0, 4, 2.421832e+00, -83.367620, 2.797180e-01, -2.405624e+00 
1.020000e+00, 0.000000, 0.000000, 0, 5, 4.249223e+04, -67.220462, 1.645241e+04, -3.917790e+04 
1.020000e+00, 0.000000, 0.000000, 0, 6, 4.253850e+01, -94.007057, -2.972562e+00, -4.243451e+01 
1.050000e+00, 0.000000, 0.000000, 0, 1, 1.465489e+02, 74.981013, 3.797654e+01, 1.415427e+02 
1.050000e+00, 0.000000, 0.000000, 0, 2, 3.068522e-01, 160.189670, -2.886926e-01, 1.039945e-01 
1.050000e+00, 0.000000, 0.000000, 0, 3, 2.254082e+02, 12.832137, 2.197787e+02, 5.006214e+01 
1.050000e+00, 0.000000, 0.000000, 0, 4, 2.175584e+00, -16.128221, 2.089958e+00, -6.043508e-01 
1.050000e+00, 0.000000, 0.000000, 0, 5, 2.191619e+04, -35.815698, 1.777192e+04, -1.282491e+04 
1.050000e+00, 0.000000, 0.000000, 0, 6, 1.641671e+01, -13.193314, 1.598340e+01, -3.746906e+00 
1.080000e+00, 0.000000, 0.000000, 0, 1, 2.128337e+02, 45.509776, 1.491512e+02, 1.518292e+02 
1.080000e+00, 0.000000, 0.000000, 0, 2, 6.344294e-02, -160.259472, -5.971452e-02, -2.142856e-02 
1.080000e+00, 0.000000, 0.000000, 0, 3, 1.983930e+02, 37.919480, 1.565073e+02, 1.219231e+02 
1.080000e+00, 0.000000, 0.000000, 0, 4, 2.364833e+00, 20.764037, 2.211233e+00, 8.383809e-01 
1.080000e+00, 0.000000, 0.000000, 0, 5, 2.123373e+04, 100.578206, -3.898034e+03, 2.087287e+04 
1.080000e+00, 0.000000, 0.000000, 0, 6, 3.438704e+01, 33.949343, 2.852514e+01, 1.920378e+01 
1.110000e+00, 0.000000, 0.000000, 0, 1, 9.660520e+01, -16.844638, 9.246026e+01, -2.799402e+01 
